,Unnamed: 0,name,artist_id,genres,followers,popularity,spotify_url
814,854,The Coasters,3QZKZBEmr54lAVI5XvmjnM,"doo-wop, rock-and-roll, rockabilly",221517,49,https://open.spotify.com/artist/3QZKZBEmr54lAVI5XvmjnM
815,859,Ricky Nelson,73sSFVlM6pkweLXE8qw1OS,"adult standards, doo-wop, rock-and-roll, rockabilly",485794,57,https://open.spotify.com/artist/73sSFVlM6pkweLXE8qw1OS
816,860,Stromae,5j4HeCoUlzhfWtjAfM1acR,"belgian pop, g-house",3398796,71,https://open.spotify.com/artist/5j4HeCoUlzhfWtjAfM1acR
817,861,Zaho,0vN920jukdAbErvjo2OJ2o,"french pop, r&b francais",671000,59,https://open.spotify.com/artist/0vN920jukdAbErvjo2OJ2o
818,862,Alexander Rybak,3LLNDXrxL4uxXtnUJS5XWM,,458000,59,https://open.spotify.com/artist/3LLNDXrxL4uxXtnUJS5XWM
819,863,Louane,7wjeXCtRND2ZdKfMJFu6JC,french pop,1410808,62,https://open.spotify.com/artist/7wjeXCtRND2ZdKfMJFu6JC
820,864,Elley Duhé,67MNhiAICFY6Pwc2YxCO0K,alt z,578278,75,https://open.spotify.com/artist/67MNhiAICFY6Pwc2YxCO0K
821,865,GIMS,0GOx72r5AAEKRGQFn3xqXK,"french hip hop, pop urbaine, r&b francais, rap conscient",4742587,79,https://open.spotify.com/artist/0GOx72r5AAEKRGQFn3xqXK
822,866,Isabel LaRosa,5arKwJZEvT5uKq4o0JfqR4,"hyperpop, sped up",1798601,76,https://open.spotify.com/artist/5arKwJZEvT5uKq4o0JfqR4
823,867,AURORA,1WgXqy2Dd70QQOU7Ay074N,"art pop, norwegian pop",3790805,74,https://open.spotify.com/artist/1WgXqy2Dd70QQOU7Ay074N
824,868,TAL,6JLwyyc3LBwRXEODjugQ4D,french pop,580549,50,https://open.spotify.com/artist/6JLwyyc3LBwRXEODjugQ4D
825,869,Teya Dora,5japL3H3OQvvJfhtsNh3eU,,146222,54,https://open.spotify.com/artist/5japL3H3OQvvJfhtsNh3eU
826,870,Neoni,38wxcfNEqMwuPniHvplin5,dark r&b,470929,69,https://open.spotify.com/artist/38wxcfNEqMwuPniHvplin5
827,871,Vitaa,0Ntl0oWMPWfBOoi9Qcr9ht,"french pop, r&b francais",1280718,63,https://open.spotify.com/artist/0Ntl0oWMPWfBOoi9Qcr9ht
828,872,Kendji Girac,4IS4EyXNmiI2w5SRCjMtEF,french pop,2068090,62,https://open.spotify.com/artist/4IS4EyXNmiI2w5SRCjMtEF
829,873,Amel Bent,15jZ8OLtnGATWHlQkltG7f,french pop,825277,53,https://open.spotify.com/artist/15jZ8OLtnGATWHlQkltG7f
830,874,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,pop,7059128,79,https://open.spotify.com/artist/4npEfmQ6YuiwW1GpUmaq3F
831,875,Bella Poarch,26cMerAxjx9GedFt0lMDjm,modern alternative pop,1320388,62,https://open.spotify.com/artist/26cMerAxjx9GedFt0lMDjm
832,876,Nej,3BQ9mWlgFRfMr5EdNfc10a,"pop urbaine, r&b francais",1204505,63,https://open.spotify.com/artist/3BQ9mWlgFRfMr5EdNfc10a
833,877,Zaz,1mbgj8ERPs8lWi7t5cYrdy,"chanson, french jazz, nouvelle chanson francaise",1565889,64,https://open.spotify.com/artist/1mbgj8ERPs8lWi7t5cYrdy
834,878,Faouzia,5NhgsV7qPWHZqYEMKzbYvo,"alt z, canadian pop",754073,62,https://open.spotify.com/artist/5NhgsV7qPWHZqYEMKzbYvo
835,879,Sia,5WUlDfRSoLAfcVSX1WnrxN,pop,28518731,84,https://open.spotify.com/artist/5WUlDfRSoLAfcVSX1WnrxN
836,880,chlothegod,10YC7gfEVGGez94KMAJoLx,,51656,38,https://open.spotify.com/artist/10YC7gfEVGGez94KMAJoLx
837,881,Jean Deaux,4JqpJeNOhP6bAkolNMLwFg,alternative r&b,168023,49,https://open.spotify.com/artist/4JqpJeNOhP6bAkolNMLwFg
838,882,Kari Faux,4c2ighP1wj8E5dVGJDCOiB,"alternative r&b, arkansas hip hop, multidisciplinary, trap queen",135000,43,https://open.spotify.com/artist/4c2ighP1wj8E5dVGJDCOiB
839,883,Cruza,7zxS4o4zmwxJNe5UvC2Fx5,indie r&b,43993,54,https://open.spotify.com/artist/7zxS4o4zmwxJNe5UvC2Fx5
840,884,Ojerime,2kVmW0EZG23dqsqeRZ4Jg0,"alternative r&b, uk contemporary r&b",82280,46,https://open.spotify.com/artist/2kVmW0EZG23dqsqeRZ4Jg0
841,885,Ambré,6gj3sMEZYP6IESIptoXnrP,alternative r&b,123570,51,https://open.spotify.com/artist/6gj3sMEZYP6IESIptoXnrP
842,886,Amaria,2clS9uX2uOrHHqkyDMkzA1,"alternative r&b, chill r&b",88813,51,https://open.spotify.com/artist/2clS9uX2uOrHHqkyDMkzA1
843,887,Tempest,2FBvlvG5TL6SPA2tCLiusa,indie r&b,24404,39,https://open.spotify.com/artist/2FBvlvG5TL6SPA2tCLiusa
844,888,BLK ODYSSY,062tCT8GVioC9EMiI9jeOV,alternative r&b,91832,57,https://open.spotify.com/artist/062tCT8GVioC9EMiI9jeOV
845,889,Alemeda,33Se8kMYeTPkeeM2LnsPF8,,36484,40,https://open.spotify.com/artist/33Se8kMYeTPkeeM2LnsPF8
846,890,Flwr Chyld,33luNNaeHIJ5KfjW56aleZ,"alternative r&b, indie r&b",33818,40,https://open.spotify.com/artist/33luNNaeHIJ5KfjW56aleZ
847,891,Liv.e,0YCL71Clky5els6NireSBP,"alternative r&b, experimental hip hop, hypnagogic pop",73315,44,https://open.spotify.com/artist/0YCL71Clky5els6NireSBP
848,892,Rayana Jay,1kh0AypxF3CxMMzmQyif2S,alternative r&b,149236,57,https://open.spotify.com/artist/1kh0AypxF3CxMMzmQyif2S
849,893,Fana Hues,4yJHrytMK7mqtKsXVGaBNg,"alternative r&b, indie r&b",69369,59,https://open.spotify.com/artist/4yJHrytMK7mqtKsXVGaBNg
850,894,Mereba,294lNTPZfdqyzt8qnxmFiL,alternative r&b,297800,55,https://open.spotify.com/artist/294lNTPZfdqyzt8qnxmFiL
851,895,Planet Giza,332mFY6yBda91AsIOSKirG,"indie hip hop, indie r&b, montreal indie",65973,52,https://open.spotify.com/artist/332mFY6yBda91AsIOSKirG
852,896,Dreamer Isioma,6u6AbTVrbabv27DLcSrF8i,"alternative r&b, modern indie pop",170439,52,https://open.spotify.com/artist/6u6AbTVrbabv27DLcSrF8i
853,897,Flower in Bloom,0Qo3BPiai9OuVq6zojWALA,,7826,36,https://open.spotify.com/artist/0Qo3BPiai9OuVq6zojWALA
854,898,Yaya Bey,6tpaMMCs8X6o8j9H5OmWmT,"alternative r&b, experimental r&b",106058,59,https://open.spotify.com/artist/6tpaMMCs8X6o8j9H5OmWmT
855,899,Dua Saleh,2DGBzoOLcKLK3eWxFyugdB,"alternative r&b, minnesota hip hop, sudanese pop",99689,44,https://open.spotify.com/artist/2DGBzoOLcKLK3eWxFyugdB
856,900,Avantasia,1Ih0fEQQsy9EeAJbYEeQRa,"fantasy metal, german metal, german power metal, gothic symphonic metal, metal, opera metal, power metal, speed metal, symphonic metal",456625,54,https://open.spotify.com/artist/1Ih0fEQQsy9EeAJbYEeQRa
857,901,Masterplan,1OHNvr18TssBKYK0A75yvx,"german metal, german power metal, power metal, progressive metal, symphonic metal",110265,45,https://open.spotify.com/artist/1OHNvr18TssBKYK0A75yvx
858,902,After Forever,6ISyfZw4EVt16zhmH2lvxp,"dutch metal, gothic metal, gothic symphonic metal, opera metal, power metal, symphonic metal",156814,40,https://open.spotify.com/artist/6ISyfZw4EVt16zhmH2lvxp
859,903,Edguy,3AGFqPP3gt5rMSvhR87Xxu,"german metal, german power metal, metal, power metal, progressive metal, speed metal, symphonic metal",286785,48,https://open.spotify.com/artist/3AGFqPP3gt5rMSvhR87Xxu
860,904,Sonata Arctica,5YeoQ1L71cXDMpSpqxOjfH,"finnish power metal, gothic symphonic metal, lapland metal, metal, power metal, progressive metal, symphonic metal",622335,53,https://open.spotify.com/artist/5YeoQ1L71cXDMpSpqxOjfH
861,905,Dark Moor,0YWKRTzA4kBceGwjywtMkh,"melodic metal, neo classical metal, power metal, spanish metal, symphonic metal",85680,35,https://open.spotify.com/artist/0YWKRTzA4kBceGwjywtMkh
862,906,Xandria,1jzIEzXVJ4p1kFDmio6LEL,"german metal, gothic metal, gothic symphonic metal, opera metal, power metal, symphonic metal",208646,43,https://open.spotify.com/artist/1jzIEzXVJ4p1kFDmio6LEL
863,907,Delain,6pIRdCtSE5hLFfIfcTAicI,"dutch metal, gothic metal, gothic symphonic metal, power metal, slayer, symphonic metal",279087,47,https://open.spotify.com/artist/6pIRdCtSE5hLFfIfcTAicI
864,908,Sirenia,5FXMcILCOMjljRTV6cLoiE,"gothic metal, gothic symphonic metal, norwegian metal, power metal, symphonic metal",228116,44,https://open.spotify.com/artist/5FXMcILCOMjljRTV6cLoiE
865,909,Dragonland,5qwH9gKvchSfuv8V6pBU71,"fantasy metal, melodic metal, neo classical metal, power metal, swedish power metal, symphonic metal",75039,34,https://open.spotify.com/artist/5qwH9gKvchSfuv8V6pBU71
866,910,Rhapsody,0zQfrabOFYf36Ikb6PXcCY,"fantasy metal, italian folk metal, italian metal, italian power metal, metal, neo classical metal, power metal, speed metal, symphonic metal",485501,49,https://open.spotify.com/artist/0zQfrabOFYf36Ikb6PXcCY
867,911,Conception,25612xyhRN1JRqXVlmghpr,"melodic metal, progressive metal",22203,26,https://open.spotify.com/artist/25612xyhRN1JRqXVlmghpr
868,912,Luca Turilli's Rhapsody,0PRRjT3oYRbOuybmBXzVwP,"italian metal, italian power metal, melodic metal, neo classical metal, power metal, speed metal, symphonic metal",63364,28,https://open.spotify.com/artist/0PRRjT3oYRbOuybmBXzVwP
869,913,Luca Turilli,2jqA2OsMhBDu0M2GLDIvsH,"italian metal, italian power metal, melodic metal, neo classical metal, power metal, symphonic metal",75394,21,https://open.spotify.com/artist/2jqA2OsMhBDu0M2GLDIvsH
870,914,Leaves' Eyes,63qODcvBCdG2kTguOJkEqJ,"celtic metal, german metal, gothic metal, gothic symphonic metal, norwegian metal, power metal, symphonic metal",181470,37,https://open.spotify.com/artist/63qODcvBCdG2kTguOJkEqJ
871,915,Gamma Ray,6LZE884lDIsCSLHuTplfGp,"german metal, german power metal, metal, power metal, speed metal",285779,43,https://open.spotify.com/artist/6LZE884lDIsCSLHuTplfGp
872,916,Stratovarius,1O8CSXsPwEqxcoBE360PPO,"finnish power metal, metal, neo classical metal, power metal, progressive metal, speed metal, symphonic metal",667880,55,https://open.spotify.com/artist/1O8CSXsPwEqxcoBE360PPO
873,917,Vision Divine,5L6lO4X5v3GJpTkBg1BdW2,"christian power metal, italian metal, italian power metal, melodic metal, neo classical metal, power metal, progressive metal, progressive power metal",52106,31,https://open.spotify.com/artist/5L6lO4X5v3GJpTkBg1BdW2
874,918,Epica,5HA5aLY3jJV7eimXWkRBBp,"dutch metal, gothic metal, gothic symphonic metal, opera metal, power metal, symphonic metal",893717,55,https://open.spotify.com/artist/5HA5aLY3jJV7eimXWkRBBp
875,919,Firewind,70I9vE7YTwKmelfEplXc5r,"greek metal, melodic metal, metal, neo classical metal, power metal, progressive metal, speed metal, symphonic metal",101427,41,https://open.spotify.com/artist/70I9vE7YTwKmelfEplXc5r
876,920,Demarco,0af5VM6xubf8EXKvoG35x6,"bongo flava, dancehall, jamaican dancehall, reggae fusion",363651,50,https://open.spotify.com/artist/0af5VM6xubf8EXKvoG35x6
877,921,RDX,4GpVRyxDYccJrbQkO3KWws,"chutney, dancehall",137384,43,https://open.spotify.com/artist/4GpVRyxDYccJrbQkO3KWws
878,922,Aidonia,5mYWkDD4b1eM4ZjFq5axxs,"dancehall, reggae fusion, traphall",344697,48,https://open.spotify.com/artist/5mYWkDD4b1eM4ZjFq5axxs
879,923,I-Octane,2T5FHRvBN0LYvlvDoU89dS,dancehall,143926,40,https://open.spotify.com/artist/2T5FHRvBN0LYvlvDoU89dS
880,924,Busy Signal,4RfTXjK9aiiIKDaKUHpL57,"dancehall, jamaican dancehall, reggae fusion",636917,60,https://open.spotify.com/artist/4RfTXjK9aiiIKDaKUHpL57
